time,seconds_elapsed,z,y,x
1761479813495233800,0.06823388671875,-1.01385498046875,-0.0234527587890625,-0.0146484375
1761479813505269800,0.078269775390625,-1.013885498046875,-0.0208282470703125,-0.017425537109375
1761479813515305700,0.0883056640625,-1.0132904052734375,-0.0234527587890625,-0.0204315185546875
1761479813525340700,0.098340576171875,-1.013458251953125,-0.021209716796875,-0.0150604248046875
1761479813535377000,0.108376953125,-1.0133056640625,-0.023101806640625,-0.0168609619140625
1761479813545412900,0.118412841796875,-1.0142059326171875,-0.019744873046875,-0.0195159912109375
1761479813555448800,0.12844873046875,-1.0129852294921875,-0.0233612060546875,-0.0179443359375
1761479813565484800,0.13848486328125,-1.0139617919921875,-0.0224456787109375,-0.01568603515625
1761479813575520800,0.148520751953125,-1.0134735107421875,-0.022552490234375,-0.019256591796875
1761479813585556700,0.158556640625,-1.0133514404296875,-0.0206298828125,-0.01885986328125
1761479813595592700,0.1685927734375,-1.01361083984375,-0.024017333984375,-0.015411376953125
1761479813605628700,0.178628662109375,-1.014801025390625,-0.0216064453125,-0.017181396484375
1761479813615663900,0.188663818359375,-1.01348876953125,-0.021728515625,-0.020416259765625
1761479813625699800,0.198699951171875,-1.013519287109375,-0.0218353271484375,-0.0162506103515625
1761479813635735800,0.20873583984375,-1.0126800537109375,-0.0236663818359375,-0.0152587890625
1761479813645771800,0.218771728515625,-1.013641357421875,-0.0222015380859375,-0.01898193359375
1761479813655807700,0.228807861328125,-1.0141143798828125,-0.0214996337890625,-0.017852783203125
1761479813665843700,0.23884375,-1.0133819580078125,-0.0219268798828125,-0.0153350830078125
1761479813675879700,0.248879638671875,-1.013824462890625,-0.0225830078125,-0.0181884765625
1761479813685916000,0.258916015625,-1.01336669921875,-0.021881103515625,-0.0191802978515625
1761479813695952000,0.268951904296875,-1.014251708984375,-0.021453857421875,-0.0161285400390625
1761479813705986800,0.27898681640625,-1.013153076171875,-0.0224151611328125,-0.01708984375
1761479813716022800,0.289022705078125,-1.0135650634765625,-0.0215301513671875,-0.019317626953125
1761479813726058800,0.299058837890625,-1.0135955810546875,-0.0227813720703125,-0.0180206298828125
1761479813736095000,0.309094970703125,-1.01348876953125,-0.0218505859375,-0.0159759521484375
1761479813746131000,0.319130859375,-1.012786865234375,-0.0220489501953125,-0.0184326171875
1761479813756167000,0.3291669921875,-1.013275146484375,-0.021881103515625,-0.018035888671875
1761479813766203000,0.339202880859375,-1.0129852294921875,-0.0225677490234375,-0.0157012939453125
1761479813776238800,0.34923876953125,-1.0127716064453125,-0.0215606689453125,-0.017242431640625
1761479813786274800,0.35927490234375,-1.013275146484375,-0.02178955078125,-0.0194091796875
1761479813796310000,0.36931005859375,-1.0135955810546875,-0.0220184326171875,-0.0164337158203125
1761479813806346000,0.379345947265625,-1.0123138427734375,-0.02313232421875,-0.016845703125
1761479813816382000,0.3893818359375,-1.0140380859375,-0.0211944580078125,-0.018768310546875
1761479813826418000,0.39941796875,-1.013427734375,-0.022369384765625,-0.018280029296875
1761479813836454000,0.409453857421875,-1.012908935546875,-0.0231475830078125,-0.0153350830078125
1761479813846489900,0.41948974609375,-1.012939453125,-0.0223846435546875,-0.0179595947265625
1761479813856525800,0.42952587890625,-1.0132598876953125,-0.0207977294921875,-0.0182952880859375
1761479813866561800,0.439561767578125,-1.0128173828125,-0.0211334228515625,-0.0172882080078125
1761479813876597800,0.44959765625,-1.01312255859375,-0.0218505859375,-0.016326904296875
1761479813886633000,0.459633056640625,-1.0127716064453125,-0.0227203369140625,-0.01837158203125
