time,seconds_elapsed,z,y,x
1761478801873801200,0.08480126953125,-1.0248565673828125,-0.044281005859375,-0.2418212890625
1761478801883837200,0.094837158203125,-1.02618408203125,-0.04693603515625,-0.242919921875
1761478801893874400,0.10487451171875,-1.025390625,-0.03814697265625,-0.23095703125
1761478801903910400,0.114910400390625,-1.0347137451171875,-0.0262603759765625,-0.2108001708984375
1761478801913947400,0.124947509765625,-1.03466796875,-0.015411376953125,-0.1951751708984375
1761478801923983400,0.1349833984375,-1.0282135009765625,-0.014312744140625,-0.1869049072265625
1761478801934020400,0.145020263671875,-1.024871826171875,-0.0213623046875,-0.1955413818359375
1761478801944056300,0.155056396484375,-1.030303955078125,-0.0284881591796875,-0.2167510986328125
1761478801954092300,0.16509228515625,-1.0309600830078125,-0.0346832275390625,-0.225494384765625
1761478801964129300,0.17512939453125,-1.0256500244140625,-0.0327911376953125,-0.2234344482421875
1761478801974165200,0.185165283203125,-1.01177978515625,-0.0238189697265625,-0.22027587890625
1761478801984202500,0.195202392578125,-0.999786376953125,-0.0159454345703125,-0.214141845703125
1761478801994238500,0.205238525390625,-0.9835357666015625,-0.0115966796875,-0.2029571533203125
1761478802004274400,0.2152744140625,-0.9706878662109375,-0.0099639892578125,-0.1989898681640625
1761478802014311400,0.2253115234375,-0.967620849609375,-0.010589599609375,-0.210296630859375
1761478802024347400,0.235347412109375,-0.9694976806640625,-0.0131683349609375,-0.2276458740234375
1761478802034384100,0.245384033203125,-0.9727935791015625,-0.0221405029296875,-0.2436981201171875
1761478802044420400,0.25542041015625,-0.980499267578125,-0.0355224609375,-0.2606048583984375
1761478802054456300,0.265456298828125,-0.984039306640625,-0.045623779296875,-0.27392578125
1761478802064493300,0.275493408203125,-0.988006591796875,-0.044921875,-0.2818756103515625
1761478802074529500,0.285529541015625,-0.98931884765625,-0.0389251708984375,-0.2726287841796875
1761478802084566300,0.295566162109375,-0.9821929931640625,-0.0347442626953125,-0.2584381103515625
1761478802094602200,0.305602294921875,-0.9621734619140625,-0.037445068359375,-0.2414703369140625
1761478802104639200,0.31563916015625,-0.9423980712890625,-0.04693603515625,-0.2231292724609375
1761478802114675200,0.32567529296875,-0.932464599609375,-0.0501251220703125,-0.2127685546875
1761478802124711200,0.335711181640625,-0.935333251953125,-0.048797607421875,-0.20855712890625
1761478802134748200,0.345748046875,-0.944580078125,-0.04522705078125,-0.205596923828125
1761478802144784100,0.3557841796875,-0.964874267578125,-0.039031982421875,-0.2007293701171875
1761478802154821400,0.3658212890625,-0.9868316650390625,-0.030731201171875,-0.1965789794921875
