time,seconds_elapsed,z,y,x
1761505719147076900,0.062076904296875,-0.9204254150390625,-0.093505859375,-0.123046875
1761505719157112800,0.07211279296875,-0.9322509765625,-0.0985260009765625,-0.14691162109375
1761505719167148800,0.082148681640625,-0.9324951171875,-0.10675048828125,-0.1626129150390625
1761505719177186000,0.09218603515625,-0.9373321533203125,-0.10992431640625,-0.1647491455078125
1761505719187222000,0.102221923828125,-0.9428863525390625,-0.1136322021484375,-0.150421142578125
1761505719197258000,0.112258056640625,-0.9324951171875,-0.11859130859375,-0.13372802734375
1761505719207294000,0.1222939453125,-0.9184112548828125,-0.1220703125,-0.1276702880859375
1761505719217330000,0.132329833984375,-0.8867950439453125,-0.122161865234375,-0.124114990234375
1761505719227367000,0.142366943359375,-0.8602447509765625,-0.1211395263671875,-0.1110992431640625
1761505719237403000,0.15240283203125,-0.8472747802734375,-0.12109375,-0.0944976806640625
1761505719247438800,0.16243896484375,-0.8292388916015625,-0.126708984375,-0.073760986328125
1761505719257474800,0.172474853515625,-0.806610107421875,-0.1388702392578125,-0.0552825927734375
1761505719267510800,0.1825107421875,-0.78436279296875,-0.15399169921875,-0.0459442138671875
1761505719277547800,0.1925478515625,-0.7722930908203125,-0.164764404296875,-0.050323486328125
1761505719287583700,0.202583740234375,-0.7772216796875,-0.168182373046875,-0.066009521484375
1761505719297619700,0.21261962890625,-0.7902984619140625,-0.16143798828125,-0.0890960693359375
1761505719307656000,0.222656005859375,-0.802398681640625,-0.1515350341796875,-0.1170501708984375
1761505719317692000,0.23269189453125,-0.8102264404296875,-0.148345947265625,-0.1333465576171875
1761505719327729000,0.24272900390625,-0.823516845703125,-0.1487884521484375,-0.1327972412109375
1761505719337764900,0.252764892578125,-0.82952880859375,-0.149322509765625,-0.1235198974609375
1761505719347801000,0.262801025390625,-0.8302764892578125,-0.14654541015625,-0.1308135986328125
1761505719357837000,0.272837158203125,-0.8366241455078125,-0.134246826171875,-0.1446075439453125
1761505719367873000,0.282873046875,-0.90533447265625,-0.127655029296875,-0.161285400390625
1761505719377910000,0.292909912109375,-1.0197906494140625,-0.125701904296875,-0.1998748779296875
1761505719387946000,0.302946044921875,-1.181610107421875,-0.124359130859375,-0.252716064453125
1761505719397982000,0.31298193359375,-1.3786468505859375,-0.139373779296875,-0.32373046875
1761505719408018000,0.323017822265625,-1.5129852294921875,-0.1588592529296875,-0.3783416748046875
1761505719418054000,0.333053955078125,-1.5959320068359375,-0.172637939453125,-0.3781280517578125
1761505719428091000,0.3430908203125,-1.7075042724609375,-0.181884765625,-0.3442230224609375
1761505719438126800,0.353126953125,-1.8023223876953125,-0.162261962890625,-0.2997894287109375
1761505719448163000,0.3631630859375,-1.882537841796875,-0.125457763671875,-0.2569732666015625
1761505719458199000,0.373198974609375,-1.9633941650390625,-0.085357666015625,-0.246063232421875
1761505719468235000,0.383235107421875,-2.003143310546875,-0.0569915771484375,-0.2615966796875
1761505719478272000,0.39327197265625,-2.00030517578125,-0.05035400390625,-0.2907562255859375
1761505719488308000,0.403307861328125,-1.997344970703125,-0.0517120361328125,-0.3209991455078125
1761505719498344000,0.413343994140625,-1.9440155029296875,-0.0564422607421875,-0.3237152099609375
1761505719508380000,0.4233798828125,-1.8437347412109375,-0.0741119384765625,-0.2855072021484375
1761505719518416000,0.433415771484375,-1.7752532958984375,-0.1178741455078125,-0.21856689453125
1761505719528452900,0.443452880859375,-1.68450927734375,-0.1851043701171875,-0.15423583984375
