time,seconds_elapsed,z,y,x
1761478267295592700,0.0765927734375,-0.969573974609375,-0.110107421875,-0.1734619140625
1761478267305628700,0.086628662109375,-0.9585418701171875,-0.113983154296875,-0.1739044189453125
1761478267315665000,0.096664794921875,-0.9621734619140625,-0.1180877685546875,-0.1815948486328125
1761478267325700900,0.106700927734375,-0.9647064208984375,-0.1209259033203125,-0.19195556640625
1761478267335737600,0.116737548828125,-0.973175048828125,-0.124755859375,-0.200592041015625
1761478267345773800,0.12677392578125,-0.9856109619140625,-0.120574951171875,-0.2119598388671875
1761478267355809800,0.136809814453125,-0.9843902587890625,-0.1146087646484375,-0.215911865234375
1761478267365845800,0.146845703125,-0.9861907958984375,-0.114837646484375,-0.1978607177734375
1761478267375881700,0.1568818359375,-0.9933624267578125,-0.114776611328125,-0.1778411865234375
1761478267385917700,0.166917724609375,-0.993927001953125,-0.1070404052734375,-0.16961669921875
1761478267395953700,0.17695361328125,-0.994384765625,-0.1074371337890625,-0.17266845703125
1761478267405989600,0.18698974609375,-0.9981689453125,-0.111724853515625,-0.1787872314453125
1761478267416025600,0.197025634765625,-0.999481201171875,-0.1108551025390625,-0.1894378662109375
1761478267426061600,0.2070615234375,-1.00262451171875,-0.11346435546875,-0.18988037109375
1761478267436098600,0.2170986328125,-1.0043487548828125,-0.11700439453125,-0.18609619140625
1761478267446134800,0.227134765625,-1.0069122314453125,-0.11505126953125,-0.1912689208984375
1761478267456170800,0.237170654296875,-1.0072479248046875,-0.1139984130859375,-0.194061279296875
1761478267466206700,0.247206787109375,-0.9987030029296875,-0.115386962890625,-0.1943511962890625
1761478267476242700,0.25724267578125,-0.9860992431640625,-0.1133880615234375,-0.1905059814453125
1761478267486278700,0.267278564453125,-0.98468017578125,-0.1119232177734375,-0.1812744140625
1761478267496315000,0.27731494140625,-0.98480224609375,-0.1116943359375,-0.181793212890625
1761478267506350800,0.287350830078125,-0.9844818115234375,-0.1102142333984375,-0.185577392578125
1761478267516386800,0.29738671875,-0.9905242919921875,-0.1100921630859375,-0.1881256103515625
1761478267526423800,0.307423828125,-0.99755859375,-0.1109466552734375,-0.18719482421875
1761478267536459800,0.317459716796875,-0.9978179931640625,-0.1132965087890625,-0.1818389892578125
1761478267546495700,0.327495849609375,-1.0021514892578125,-0.1128082275390625,-0.1793365478515625
1761478267556531700,0.33753173828125,-1.0069427490234375,-0.1092529296875,-0.1851806640625
1761478267566567700,0.347567626953125,-1.011810302734375,-0.1118621826171875,-0.1929779052734375
1761478267576603600,0.357603759765625,-1.0063629150390625,-0.114898681640625,-0.1996307373046875
1761478267586639600,0.3676396484375,-0.9931640625,-0.1159210205078125,-0.1966552734375
1761478267596675600,0.377675537109375,-0.9765472412109375,-0.1162109375,-0.1828765869140625
1761478267606711600,0.387711669921875,-0.96875,-0.1163787841796875,-0.1702728271484375
1761478267616747500,0.39774755859375,-0.97119140625,-0.1137847900390625,-0.170928955078125
1761478267626784800,0.40778466796875,-0.976104736328125,-0.11004638671875,-0.181884765625
1761478267636820700,0.41782080078125,-0.9802703857421875,-0.1112823486328125,-0.1900634765625
1761478267646856700,0.427856689453125,-0.9822235107421875,-0.108795166015625,-0.19500732421875
1761478267656892700,0.437892578125,-0.9836883544921875,-0.1084442138671875,-0.1971893310546875
1761478267666929000,0.447928955078125,-0.9843597412109375,-0.112823486328125,-0.19134521484375
1761478267676964900,0.45796484375,-0.9814605712890625,-0.114532470703125,-0.1843414306640625
1761478267687000800,0.468000732421875,-0.987152099609375,-0.110687255859375,-0.1847686767578125
