time,seconds_elapsed,z,y,x
1761505173297356800,5.232356689453125,-0.07637926936149597,-0.009044265374541283,0.05339755117893219
1761505173307392800,5.242392822265625,-0.06383086740970612,-0.01805696077644825,0.050707779824733734
1761505173317428000,5.252427978515625,-0.060208700597286224,-0.03027714043855667,0.06571868807077408
1761505173327463000,5.262462890625,-0.056769710034132004,-0.049277398735284805,0.07462933659553528
1761505173337499000,5.272498779296875,-0.04902976378798485,-0.09309624880552292,0.06951526552438736
1761505173347533800,5.282533935546875,-0.045908279716968536,-0.12539824843406677,0.047322582453489304
1761505173357570000,5.292570068359375,-0.04937145486474037,-0.1481754630804062,0.01231772918254137
1761505173367605000,5.30260498046875,-0.05254824832081795,-0.1624346524477005,-0.025801360607147217
1761505173377640000,5.312639892578125,-0.058379508554935455,-0.16960440576076508,-0.06173992156982422
1761505173387676000,5.322676025390625,-0.06787624210119247,-0.17756867408752441,-0.08660362660884857
1761505173397710800,5.3327109375,-0.08020961284637451,-0.17429538071155548,-0.08846837282180786
1761505173407746800,5.342746826171875,-0.0990980863571167,-0.16795305907726288,-0.06876581162214279
1761505173417781800,5.35278173828125,-0.13795307278633118,-0.13446541130542755,-0.03336653485894203
1761505173427817000,5.36281689453125,-0.1871553510427475,-0.10157561302185059,-0.012549426406621933
1761505173437853000,5.37285302734375,-0.23257184028625488,-0.07606039941310883,-0.013505234383046627
1761505173447888000,5.382887939453125,-0.2693694531917572,-0.06309860944747925,-0.037133533507585526
1761505173457923800,5.392923828125,-0.3041759133338928,-0.05802501365542412,-0.05588192120194435
1761505173467959000,5.402958984375,-0.33367982506752014,-0.05380329489707947,-0.05767296254634857
1761505173477994000,5.412993896484375,-0.3749745488166809,-0.06511001288890839,-0.04539445787668228
1761505173488030000,5.423030029296875,-0.4297202229499817,-0.10914357006549835,-0.0378589853644371
1761505173498065000,5.43306494140625,-0.4997278153896332,-0.1850985288619995,-0.07483723759651184
1761505173508100900,5.443100830078125,-0.5703463554382324,-0.24740701913833618,-0.18151989579200745
1761505173518135800,5.4531357421875,-0.5936492681503296,-0.2623436450958252,-0.33023107051849365
1761505173528170800,5.463170654296875,-0.5436158180236816,-0.25244656205177307,-0.4705095887184143
